Supplier ID,Company Name,Category,Product Description,Micro-Location,Email Address,Phone Number
"CP-SUP-001","Nexus Solutions","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@nexussolutions.in","+91 9810820373"
"CP-SUP-002","Apex B2B","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@apexb2b.in","+91 9810503593"
"CP-SUP-003","Prime Logistics","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@primelogistics.in","+91 9810916853"
"CP-SUP-004","Elite Industries","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@eliteindustries.in","+91 9810342143"
"CP-SUP-005","Sovereign Furnishings","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@sovereignfurnishings.in","+91 9810904471"
"CP-SUP-006","Global Wholesale","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@globalwholesale.in","+91 9810839227"
"CP-SUP-007","Pioneer Corp","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@pioneercorp.in","+91 9810623255"
"CP-SUP-008","Vertex Systems","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@vertexsystems.in","+91 9810376928"
"CP-SUP-009","Quantum Traders","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@quantumtraders.in","+91 9810992486"
"CP-SUP-010","CPM Enterprises","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@cpmenterprises.in","+91 9810919093"
"CP-SUP-011","Hans Solutions","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@hanssolutions.in","+91 9810844324"
"CP-SUP-012","Agroha B2B","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@agrohab2b.in","+91 9810334227"
"CP-SUP-013","Aarjav Logistics","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@aarjavlogistics.in","+91 9810169824"
"CP-SUP-014","Anisa Industries","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@anisaindustries.in","+91 9810422356"
"CP-SUP-015","BlueSky Furnishings","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@blueskyfurnishings.in","+91 9810650719"
"CP-SUP-016","Om Wholesale","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@omwholesale.in","+91 9810729104"
"CP-SUP-017","Shanti Corp","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@shanticorp.in","+91 9810474762"
"CP-SUP-018","Vanguard Systems","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@vanguardsystems.in","+91 9810102930"
"CP-SUP-019","Summit Traders","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@summittraders.in","+91 9810304515"
"CP-SUP-020","Matrix Enterprises","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@matrixenterprises.in","+91 9810387196"
"CP-SUP-021","Nexus Solutions","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@nexussolutions.in","+91 9810116804"
"CP-SUP-022","Apex B2B","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@apexb2b.in","+91 9810434876"
"CP-SUP-023","Prime Logistics","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@primelogistics.in","+91 9810686221"
"CP-SUP-024","Elite Industries","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@eliteindustries.in","+91 9810886112"
"CP-SUP-025","Sovereign Furnishings","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@sovereignfurnishings.in","+91 9810326229"
"CP-SUP-026","Global Wholesale","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@globalwholesale.in","+91 9810574728"
"CP-SUP-027","Pioneer Corp","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@pioneercorp.in","+91 9810135870"
"CP-SUP-028","Vertex Systems","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@vertexsystems.in","+91 9810770671"
"CP-SUP-029","Quantum Traders","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@quantumtraders.in","+91 9810475438"
"CP-SUP-030","CPM Enterprises","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@cpmenterprises.in","+91 9810514243"
"CP-SUP-031","Hans Solutions","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@hanssolutions.in","+91 9810884388"
"CP-SUP-032","Agroha B2B","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@agrohab2b.in","+91 9810195820"
"CP-SUP-033","Aarjav Logistics","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@aarjavlogistics.in","+91 9810516243"
"CP-SUP-034","Anisa Industries","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@anisaindustries.in","+91 9810631868"
"CP-SUP-035","BlueSky Furnishings","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@blueskyfurnishings.in","+91 9810890705"
"CP-SUP-036","Om Wholesale","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@omwholesale.in","+91 9810860374"
"CP-SUP-037","Shanti Corp","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@shanticorp.in","+91 9810918133"
"CP-SUP-038","Vanguard Systems","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@vanguardsystems.in","+91 9810710067"
"CP-SUP-039","Summit Traders","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@summittraders.in","+91 9810425457"
"CP-SUP-040","Matrix Enterprises","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@matrixenterprises.in","+91 9810930123"
"CP-SUP-041","Nexus Solutions","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@nexussolutions.in","+91 9810728490"
"CP-SUP-042","Apex B2B","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@apexb2b.in","+91 9810841963"
"CP-SUP-043","Prime Logistics","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@primelogistics.in","+91 9810497375"
"CP-SUP-044","Elite Industries","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@eliteindustries.in","+91 9810306834"
"CP-SUP-045","Sovereign Furnishings","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@sovereignfurnishings.in","+91 9810383129"
"CP-SUP-046","Global Wholesale","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@globalwholesale.in","+91 9810380784"
"CP-SUP-047","Pioneer Corp","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@pioneercorp.in","+91 9810409772"
"CP-SUP-048","Vertex Systems","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@vertexsystems.in","+91 9810111009"
"CP-SUP-049","Quantum Traders","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@quantumtraders.in","+91 9810841653"
"CP-SUP-050","CPM Enterprises","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@cpmenterprises.in","+91 9810961675"
"CP-SUP-051","Hans Solutions","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@hanssolutions.in","+91 9810900580"
"CP-SUP-052","Agroha B2B","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@agrohab2b.in","+91 9810765086"
"CP-SUP-053","Aarjav Logistics","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@aarjavlogistics.in","+91 9810927519"
"CP-SUP-054","Anisa Industries","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@anisaindustries.in","+91 9810216515"
"CP-SUP-055","BlueSky Furnishings","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@blueskyfurnishings.in","+91 9810279362"
"CP-SUP-056","Om Wholesale","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@omwholesale.in","+91 9810205237"
"CP-SUP-057","Shanti Corp","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@shanticorp.in","+91 9810513770"
"CP-SUP-058","Vanguard Systems","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@vanguardsystems.in","+91 9810739956"
"CP-SUP-059","Summit Traders","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@summittraders.in","+91 9810187284"
"CP-SUP-060","Matrix Enterprises","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@matrixenterprises.in","+91 9810450822"
"CP-SUP-061","Nexus Solutions","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@nexussolutions.in","+91 9810496473"
"CP-SUP-062","Apex B2B","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@apexb2b.in","+91 9810152767"
"CP-SUP-063","Prime Logistics","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@primelogistics.in","+91 9810339535"
"CP-SUP-064","Elite Industries","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@eliteindustries.in","+91 9810179045"
"CP-SUP-065","Sovereign Furnishings","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@sovereignfurnishings.in","+91 9810587619"
"CP-SUP-066","Global Wholesale","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@globalwholesale.in","+91 9810841256"
"CP-SUP-067","Pioneer Corp","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@pioneercorp.in","+91 9810574374"
"CP-SUP-068","Vertex Systems","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@vertexsystems.in","+91 9810212224"
"CP-SUP-069","Quantum Traders","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@quantumtraders.in","+91 9810797737"
"CP-SUP-070","CPM Enterprises","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@cpmenterprises.in","+91 9810789327"
"CP-SUP-071","Hans Solutions","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@hanssolutions.in","+91 9810461541"
"CP-SUP-072","Agroha B2B","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@agrohab2b.in","+91 9810279478"
"CP-SUP-073","Aarjav Logistics","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@aarjavlogistics.in","+91 9810602615"
"CP-SUP-074","Anisa Industries","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@anisaindustries.in","+91 9810652186"
"CP-SUP-075","BlueSky Furnishings","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@blueskyfurnishings.in","+91 9810458708"
"CP-SUP-076","Om Wholesale","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@omwholesale.in","+91 9810276350"
"CP-SUP-077","Shanti Corp","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@shanticorp.in","+91 9810857343"
"CP-SUP-078","Vanguard Systems","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@vanguardsystems.in","+91 9810107144"
"CP-SUP-079","Summit Traders","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@summittraders.in","+91 9810349598"
"CP-SUP-080","Matrix Enterprises","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@matrixenterprises.in","+91 9810505120"
"CP-SUP-081","Nexus Solutions","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@nexussolutions.in","+91 9810299074"
"CP-SUP-082","Apex B2B","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@apexb2b.in","+91 9810461516"
"CP-SUP-083","Prime Logistics","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@primelogistics.in","+91 9810681198"
"CP-SUP-084","Elite Industries","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@eliteindustries.in","+91 9810461718"
"CP-SUP-085","Sovereign Furnishings","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@sovereignfurnishings.in","+91 9810188071"
"CP-SUP-086","Global Wholesale","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@globalwholesale.in","+91 9810689066"
"CP-SUP-087","Pioneer Corp","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@pioneercorp.in","+91 9810740502"
"CP-SUP-088","Vertex Systems","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@vertexsystems.in","+91 9810788688"
"CP-SUP-089","Quantum Traders","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@quantumtraders.in","+91 9810948205"
"CP-SUP-090","CPM Enterprises","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@cpmenterprises.in","+91 9810779694"
"CP-SUP-091","Hans Solutions","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@hanssolutions.in","+91 9810290272"
"CP-SUP-092","Agroha B2B","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@agrohab2b.in","+91 9810852479"
"CP-SUP-093","Aarjav Logistics","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@aarjavlogistics.in","+91 9810462135"
"CP-SUP-094","Anisa Industries","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@anisaindustries.in","+91 9810219906"
"CP-SUP-095","BlueSky Furnishings","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@blueskyfurnishings.in","+91 9810693682"
"CP-SUP-096","Om Wholesale","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@omwholesale.in","+91 9810798325"
"CP-SUP-097","Shanti Corp","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@shanticorp.in","+91 9810538833"
"CP-SUP-098","Vanguard Systems","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@vanguardsystems.in","+91 9810783893"
"CP-SUP-099","Summit Traders","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@summittraders.in","+91 9810725583"
